node,rank,time
1,128,3.499
1,128,3.499
1,128,3.499
1,128,3.499
1,128,8.856
1,128,8.856
1,128,8.856
1,128,8.856
1,128,28.493
1,128,28.493
1,128,28.493
1,128,28.493
1,128,49.172
1,128,49.172
1,128,49.172
1,128,49.172
1,128,99.745
1,128,99.745
1,128,99.745
1,128,99.745
1,128,257.832
1,128,257.832
1,128,257.832
1,128,257.832
11,65535,4.157
11,65535,5.801
11,65535,7.311
11,65535,7.455
11,335,14.599
11,335,14.599
11,335,14.599
11,335,14.599
11,327,19.495
11,327,19.495
11,327,19.495
11,327,19.495
11,306,34.109
11,306,34.109
11,306,34.109
11,306,34.109
11,284,56.878
11,284,56.878
11,284,56.878
11,284,56.878
11,281,60.665
11,260,120.757
11,260,120.757
11,260,120.757
11,260,120.757
11,256,168.066
11,263,246.063
11,263,246.063
11,263,246.063
11,263,246.063
11,262,247.745
11,256,295.601
12,65535,4.206
12,65535,5.951
12,65535,8.356
12,65535,9.257
12,343,17.424
12,343,17.424
12,343,17.424
12,343,17.424
12,343,17.424
12,334,23.963
12,334,23.963
12,334,23.963
12,334,23.963
12,334,23.963
12,312,36.935
12,312,36.935
12,312,36.935
12,312,36.935
12,312,36.935
12,262,70.91499999999999
12,262,70.91499999999999
12,262,70.91499999999999
12,262,70.91499999999999
12,262,70.91499999999999
12,256,82.619
12,256,117.439
12,256,117.439
12,256,117.439
12,256,117.439
12,256,117.439
12,256,184.26
12,256,239.774
12,256,258.459
12,256,258.459
12,256,258.459
12,256,258.459
12,256,258.459
12,256,338.361
5,65535,4.308
5,65535,7.763
5,65535,11.311
5,65535,12.376
5,294,18.53
5,294,18.53
5,294,18.53
5,294,23.795
5,294,23.795
5,294,23.795
5,290,29.972
5,290,29.972
5,290,29.972
5,286,36.015
5,286,36.015
5,286,36.015
5,272,54.587
5,272,54.587
5,272,54.587
5,260,86.945
5,260,86.945
5,260,86.945
5,256,107.231
5,256,182.231
5,256,219.595
5,256,219.595
5,256,219.595
5,256,281.595
9,65535,4.326
9,65535,5.922
9,65535,9.907
9,65535,12.982
9,301,18.921
9,301,18.921
9,301,18.921
9,296,25.89
9,296,25.89
9,296,25.89
9,288,42.403
9,288,42.403
9,288,42.403
9,281,63.394
9,281,63.394
9,281,63.394
9,271,103.093
9,269,115.494
9,269,115.494
9,269,115.494
9,263,150.371
9,256,218.834
9,256,218.834
9,256,218.834
9,256,227.76
9,256,295.999
6,65535,16.972
6,65535,17.648
6,65535,21.625
6,65535,22.023
6,504,29.709
6,504,29.709
6,504,29.709
6,483,36.724
6,483,36.724
6,483,36.724
6,473,51.191
6,473,51.191
6,473,51.191
6,439,82.191
6,439,82.191
6,439,82.191
6,430,110.904
6,398,150.751
6,398,150.751
6,398,150.751
6,420,214.013
6,431,241.714
6,431,241.714
6,431,241.714
6,425,260.319
10,65535,18.671
10,65535,21.501
10,65535,24.317
10,65535,27.557
10,464,35.688
10,464,35.688
10,455,42.14
10,455,42.14
10,455,58.27
10,455,58.27
10,435,78.849
10,412,91.297
10,412,91.297
10,390,159.353
10,390,159.353
10,384,229.518
10,384,229.518
7,65535,19.611
7,65535,21.245
7,65535,23.673
7,65535,27.312
7,516,35.733
7,516,35.733
7,516,35.733
7,516,35.733
7,488,44.314
7,488,44.314
7,488,44.314
7,488,44.314
7,478,50.71
7,478,50.71
7,478,50.71
7,478,50.71
7,464,62.177
7,464,62.177
7,464,62.177
7,464,62.177
7,397,94.093
7,397,94.093
7,397,94.093
7,397,94.093
7,394,103.905
7,390,160.253
7,390,160.253
7,390,160.253
7,390,160.253
7,384,182.033
7,389,242.238
7,389,242.238
7,389,242.238
7,389,242.238
7,384,260.401
4,65535,20.649
4,65535,24.493
4,65535,25.387
4,65535,29.034
4,522,35.434
4,522,35.434
4,522,35.434
4,522,35.434
4,494,42.808
4,494,42.808
4,494,42.808
4,494,42.808
4,424,84.328
4,424,84.328
4,424,84.328
4,424,84.328
4,414,110.012
4,396,156.46800000000002
4,396,156.46800000000002
4,396,156.46800000000002
4,396,156.46800000000002
4,394,169.50900000000001
4,387,238.902
4,384,283.4
4,384,283.4
4,384,283.4
4,384,283.4
4,384,297.067
2,65535,36.6
2,65535,40.069
2,65535,43.904
2,65535,44.047
2,649,52.83
2,649,52.83
2,649,52.83
2,644,57.623
2,644,57.623
2,644,57.623
2,622,77.424
2,622,77.424
2,622,77.424
2,549,98.173
2,549,98.173
2,549,98.173
2,546,106.093
2,539,143.82999999999998
2,539,143.82999999999998
2,539,143.82999999999998
2,524,201.394
2,533,272.499
2,533,272.499
2,533,272.499
2,531,286.635
3,65535,37.446
3,65535,40.434
3,65535,43.785
3,65535,47.247
3,655,55.12
3,655,55.12
3,655,55.12
3,655,60.78
3,655,60.78
3,655,60.78
3,640,73.474
3,640,73.474
3,640,73.474
3,585,100.156
3,585,100.156
3,585,100.156
3,562,151.897
3,537,165.051
3,537,165.051
3,537,165.051
3,526,227.917
3,514,283.822
3,514,283.822
3,514,283.822
3,512,331.713
8,65535,38.721
8,65535,40.493
8,65535,41.072
8,65535,41.405
8,65535,41.826
8,659,49.202
8,659,49.202
8,659,49.202
8,659,49.202
8,644,55.807
8,644,55.807
8,644,55.807
8,644,55.807
8,626,67.352
8,626,67.352
8,626,67.352
8,626,67.352
8,549,101.326
8,549,101.326
8,549,101.326
8,549,101.326
8,543,121.301
8,539,141.791
8,539,141.791
8,539,141.791
8,539,141.791
8,522,219.209
8,517,281.159
8,517,296.894
8,517,296.894
8,517,296.894
8,517,296.894
8,517,341.596
