node,seq,send,sink,response,delay
2,0,23.951,23.98,23.996,0.04499999999999815
2,1,34.868,34.875,34.911,0.04299999999999926
2,2,43.998,44.01,44.049,0.05100000000000193
2,3,53.062,53.095,53.118,0.05600000000000449
2,4,63.278999999999996,63.322,63.348,0.06900000000000261
2,5,74.092,74.105,74.112,0.01999999999999602
2,6,83.395,83.429,83.45400000000001,0.05900000000001171
2,7,93.961,93.98400000000001,94.003,0.04200000000000159
2,8,103.089,103.11699999999999,103.14099999999999,0.0519999999999925
2,9,112.414,112.451,112.479,0.06499999999999773
2,10,121.721,121.732,121.743,0.02199999999999136
2,11,130.942,130.959,131.0,0.057999999999992724
2,12,141.732,141.744,141.751,0.019000000000005457
2,13,152.03,152.06,152.103,0.0730000000000075
2,14,162.763,162.77,162.803,0.03999999999999204
2,15,172.835,172.86599999999999,172.873,0.03799999999998249
2,16,183.734,183.778,183.794,0.060000000000002274
2,17,194.637,194.648,194.688,0.05099999999998772
2,18,204.446,204.464,204.47899999999998,0.03299999999998704
2,19,214.802,214.82999999999998,214.869,0.06700000000000728
2,20,224.869,224.913,224.93,0.06100000000000705
2,21,235.488,235.523,235.553,0.06499999999999773
2,22,244.782,244.788,244.808,0.025999999999982037
2,23,255.61,255.619,255.625,0.014999999999986358
2,24,266.3,266.341,266.354,0.053999999999973625
2,25,276.71500000000003,276.759,276.778,0.06299999999998818
2,26,286.06,286.103,286.14300000000003,0.08300000000002683
2,27,296.238,296.26800000000003,296.294,0.055999999999983174
2,28,305.466,305.477,305.485,0.019000000000005457
3,0,22.679,22.696,22.722,0.043000000000002814
3,1,32.061,32.089,32.095,0.03399999999999892
3,2,41.673,41.683,41.718,0.045000000000001705
3,3,51.102,51.126,51.138,0.036000000000001364
3,4,61.486,61.527,61.553,0.06700000000000017
3,5,71.515,71.556,71.58500000000001,0.07000000000000739
3,6,80.963,80.994,81.009,0.04600000000000648
3,7,91.777,91.815,91.821,0.04399999999999693
3,8,101.614,101.648,101.657,0.042999999999992156
3,9,111.655,111.661,111.672,0.016999999999995907
3,10,120.779,120.791,120.835,0.055999999999997385
3,11,130.527,130.537,130.578,0.051000000000016144
3,12,140.375,140.41,140.441,0.0660000000000025
3,13,150.106,150.115,150.141,0.03499999999999659
3,14,160.754,160.769,160.777,0.022999999999996135
3,15,170.614,170.637,170.68,0.0660000000000025
3,16,180.169,180.193,180.203,0.033999999999991815
3,17,189.694,189.739,189.768,0.07400000000001228
3,18,199.751,199.79,199.799,0.04800000000000182
3,19,208.9,208.933,208.944,0.04399999999998272
3,20,218.493,218.527,218.56900000000002,0.07600000000002183
