node,seq,send,sink,response,delay
2,0,23.951,23.98,23.987,0.03599999999999781
2,1,34.868,34.909,34.915,0.046999999999997044
2,2,45.356,45.383,45.41,0.05399999999999494
2,3,54.848,54.86,54.875,0.027000000000001023
2,4,63.912,63.942,63.981,0.06900000000000261
2,5,73.023,73.037,73.06700000000001,0.04400000000001114
2,6,83.14699999999999,83.156,83.18,0.03300000000001546
2,7,94.06700000000001,94.11,94.13900000000001,0.07200000000000273
2,8,104.88,104.90299999999999,104.92099999999999,0.04099999999999682
2,9,115.706,115.715,115.721,0.015000000000000568
2,10,125.328,125.333,125.339,0.01099999999999568
2,11,136.25900000000001,136.3,136.339,0.07999999999998408
2,12,146.798,146.821,146.86599999999999,0.06799999999998363
2,13,155.926,155.934,155.952,0.02600000000001046
2,14,166.043,166.062,166.097,0.054000000000002046
2,15,176.203,176.21800000000002,176.242,0.03899999999998727
2,16,186.969,187.012,187.045,0.0759999999999934
2,17,197.081,197.093,197.124,0.043000000000006366
2,18,207.078,207.114,207.155,0.07699999999999818
2,19,217.20600000000002,217.253,217.36,0.15399999999999636
2,20,227.496,227.513,227.525,0.028999999999996362
2,21,238.286,238.29399999999998,238.314,0.027999999999991587
2,22,248.0,248.039,248.045,0.044999999999987494
2,23,257.397,257.424,257.434,0.03700000000003456
2,24,266.743,266.764,266.773,0.03000000000002956
2,25,276.626,276.633,276.678,0.05200000000002092
2,26,286.698,286.734,286.771,0.07300000000003593
2,27,297.481,297.512,297.52,0.03899999999998727
2,28,308.38,308.417,308.456,0.07600000000002183
2,29,318.647,318.691,318.70799999999997,0.06099999999997863
3,0,62.144,62.215,62.342,0.1980000000000004
3,1,71.597,71.708,71.805,0.20800000000001262
3,2,81.209,81.289,81.345,0.13599999999999568
3,3,92.17699999999999,92.27799999999999,92.346,0.16900000000001114
3,4,101.606,101.711,101.925,0.3190000000000026
3,5,110.642,110.771,110.894,0.25200000000000955
3,6,119.988,120.128,120.233,0.24500000000000455
3,7,130.27,130.406,130.528,0.25799999999998136
