node,rank,time
1,128,3.499
1,128,8.856
1,128,27.555
1,128,47.955
1,128,108.68
1,128,211.55
6,128,6.314
6,128,10.015
6,128,13.995
6,128,17.093
6,128,25.345
6,128,25.345
6,128,25.345
6,128,31.654
6,128,31.654
6,128,31.654
6,128,48.735
6,128,48.735
6,128,48.735
6,128,72.389
6,128,72.389
6,128,72.389
6,128,129.925
6,128,129.925
6,128,129.925
6,128,272.799
6,128,272.799
6,128,272.799
2,65535,26.225
2,65535,27.182
2,65535,31.188
2,65535,32.946
2,256,38.409
2,256,38.409
2,256,38.409
2,256,38.409
2,256,47.394
2,256,47.394
2,256,47.394
2,256,47.394
2,256,57.881
2,256,57.881
2,256,57.881
2,256,57.881
2,256,90.358
2,256,92.794
2,256,92.794
2,256,92.794
2,256,92.794
2,256,150.442
2,256,155.427
2,256,155.427
2,256,155.427
2,256,155.427
2,256,195.845
2,256,253.525
2,256,253.525
2,256,253.525
2,256,253.525
2,256,303.767
8,65535,27.368
8,65535,30.147
8,65535,31.919
8,65535,32.498
8,256,38.689
8,256,38.689
8,256,38.689
8,256,38.689
8,256,38.689
8,256,44.879
8,256,44.879
8,256,44.879
8,256,44.879
8,256,44.879
8,256,49.499
8,256,49.499
8,256,49.499
8,256,49.499
8,256,49.499
8,256,54.749
8,256,54.749
8,256,54.749
8,256,54.749
8,256,54.749
8,256,74.554
8,256,74.554
8,256,74.554
8,256,74.554
8,256,74.554
8,256,91.135
8,256,103.782
8,256,103.782
8,256,103.782
8,256,103.782
8,256,103.782
8,256,139.943
8,256,172.95600000000002
8,256,172.95600000000002
8,256,172.95600000000002
8,256,172.95600000000002
8,256,172.95600000000002
8,256,237.91
8,256,289.979
8,256,289.979
8,256,289.979
8,256,289.979
8,256,289.979
8,256,305.698
12,65535,38.777
12,65535,40.158
12,65535,40.556
12,65535,41.392
12,384,47.907
12,384,47.907
12,384,47.907
12,384,56.93
12,384,56.93
12,384,56.93
12,384,68.899
12,384,68.899
12,384,68.899
12,384,91.605
12,384,100.923
12,384,100.923
12,384,100.923
12,384,143.274
12,384,154.117
12,384,154.117
12,384,154.117
12,384,237.536
12,384,290.278
12,384,290.511
12,384,290.511
12,384,290.511
10,65535,39.99
10,65535,42.801
10,65535,42.877
10,65535,45.166
10,384,52.393
10,384,52.393
10,384,52.393
10,384,52.393
10,384,52.393
10,384,59.527
10,384,59.527
10,384,59.527
10,384,59.527
10,384,59.527
10,384,75.181
10,384,75.181
10,384,75.181
10,384,75.181
10,384,75.181
10,384,101.244
10,384,101.244
10,384,101.244
10,384,101.244
10,384,101.244
10,384,133.666
10,384,167.369
10,384,167.369
10,384,167.369
10,384,167.369
10,384,167.369
10,384,195.641
10,384,245.347
10,384,245.347
10,384,245.347
10,384,245.347
10,384,245.347
10,384,296.277
4,65535,41.706
4,65535,44.946
4,65535,47.751
4,65535,50.262
4,384,59.023
4,384,59.023
4,384,59.023
4,384,59.023
4,384,65.289
4,384,65.289
4,384,65.289
4,384,65.289
4,384,80.256
4,384,80.256
4,384,80.256
4,384,80.256
4,384,106.255
4,384,106.255
4,384,106.255
4,384,106.255
4,384,152.287
4,384,179.154
4,384,179.154
4,384,179.154
4,384,179.154
4,384,213.308
4,384,292.44100000000003
4,384,292.44100000000003
4,384,292.44100000000003
4,384,292.44100000000003
4,384,305.608
9,65535,42.674
9,65535,45.751
9,65535,46.848
9,65535,48.852
9,384,56.775
9,384,63.243
9,384,78.001
9,384,102.078
9,384,160.524
9,384,280.129
11,65535,49.839
11,65535,50.083
11,65535,53.127
11,65535,54.057
11,512,61.856
11,512,61.856
11,512,61.856
11,512,68.89
11,512,68.89
11,512,68.89
11,512,87.758
11,512,87.758
11,512,87.758
11,512,106.80799999999999
11,512,106.80799999999999
11,512,106.80799999999999
11,512,140.027
11,512,183.672
11,512,183.672
11,512,183.672
11,512,226.90800000000002
11,512,304.547
11,512,305.58
11,512,305.58
11,512,305.58
7,65535,53.81
7,65535,56.758
7,65535,60.363
7,65535,63.768
7,512,70.257
7,512,70.257
7,512,70.257
7,512,70.257
7,512,77.205
7,512,77.205
7,512,77.205
7,512,77.205
7,512,95.93
7,512,95.93
7,512,95.93
7,512,95.93
7,512,126.365
7,512,126.365
7,512,126.365
7,512,126.365
7,512,147.772
7,512,168.567
7,512,168.567
7,512,231.563
7,512,295.811
7,512,295.811
7,512,295.811
7,512,295.811
3,65535,61.887
3,65535,62.075
3,65535,65.509
3,65535,69.013
3,512,74.022
3,512,74.022
3,512,81.129
3,512,81.129
3,512,93.273
3,512,93.273
3,512,123.101
3,512,123.101
3,512,129.696
3,512,182.178
3,512,182.178
3,512,197.201
3,512,285.99
5,65535,62.921
5,65535,63.202
5,65535,66.856
5,65535,67.49
5,640,75.78
5,640,81.67699999999999
5,640,100.102
5,640,130.347
5,640,177.21
5,640,284.395
